province,type,metric,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DI Yogyakarta,floating cage net,area_hectares,-,6,7,11,23,-,192,541,300,253,259
Jawa Timur,floating cage net,area_hectares,39,0,0,0,1,3,4,64,2,4,3
Bali,floating cage net,area_hectares,63,5,5,5,5,19,24,14,10,10,10
Nusa Tenggara Barat,floating cage net,area_hectares,-,-,0,-,0,6,0,0,1,3,3
Nusa Tenggara Timur,floating cage net,area_hectares,-,-,-,-,-,-,-,-,-,−,−
Kalimantan Barat,floating cage net,area_hectares,42,-,0,2,39,3,3,3,3,18,19
Kalimantan Tengah,floating cage net,area_hectares,-,-,2,3,18,35,3,6,1,1,8
Kalimantan Selatan,floating cage net,area_hectares,68,1,3,3,4,5,5,5,5,7,7
Kalimantan Timur,floating cage net,area_hectares,-,-,7,-,0,0,-,-,0,0,0
Kalimantan Utara,floating cage net,area_hectares,,,,,,,,,,,−
Sulawesi Utara,floating cage net,area_hectares,68,5,7,7,7,7,5,0,12,1,20
Gorontalo,floating cage net,area_hectares,-,-,-,-,-,-,-,0,1,0,0
Sulawesi Tengah,floating cage net,area_hectares,-,-,-,1,-,-,-,-,0,−,−
Sulawesi Selatan,floating cage net,area_hectares,-,-,-,-,-,-,-,-,-,−,−
Sulawesi Barat,floating cage net,area_hectares,26,53,79,52,23,24,28,-,16,20,24
Sulawesi Tenggara,floating cage net,area_hectares,-,-,-,-,0,,0,28,1,−,−
Maluku,floating cage net,area_hectares,2,-,-,-,-,-,-,-,-,−,−
Maluku Utara,floating cage net,area_hectares,2,0,0,-,1,0,-,-,0,0,15
Papua,floating cage net,area_hectares,-,-,-,0,-,0,-,-,0,−,1
Papua Barat,floating cage net,area_hectares,-,-,-,-,-,-,-,-,0,0,0
Indonesia,floating cage net,area_hectares,966,921,1.058,736,1.306,753,1.294,1 371,1.345,1.272,1.912
Aceh,paddy field,area_hectares,3.359,2.478,7,2.607,2.607,2.607,2.309,1.171,1.535,1.6,2.972
Sumatera Utara,paddy field,area_hectares,14.343,14.343,13.411,-,11.925,9.682,9.255,9.658,8.188,8.182,8.77
Sumatera Barat,paddy field,area_hectares,1.487,1.47,1.598,2.577,2.625,2.205,2.476,3.048,3.134,3.132,3.393
Riau,paddy field,area_hectares,-,-,-,-,-,-,-,-,-,2,2
Kepulauan Riau,paddy field,area_hectares,17,18,19,19,25,12,19,17.609,141,3,3
Jambi,paddy field,area_hectares,1.347,5.995,6.205,6.422,9.376,17.609,17.609,4.653,17.609,17.539,14.575
Sumatera Selatan,paddy field,area_hectares,8.771,5.172,5.329,6.89,1.365,1.074,3.879,-,5.326,5.311,4.843
Kepulauan Bangka Belitung,paddy field,area_hectares,2.71,2.561,1.575,2.257,1.553,1.238,1.126,-,209,161,152
Bengkulu,paddy field,area_hectares,-,-,-,-,-,-,-,172,-,-,-
Lampung,paddy field,area_hectares,-,-,-,-,-,-,-,105,-,-,-
DKI Jakarta,paddy field,area_hectares,-,-,-,-,-,-,-,-,-,-,-
Jawa Barat,paddy field,area_hectares,35.67,30.717,25.952,42.149,33.256,73.652,43.237,43.237,44.077,43.783,31.753
Banten,paddy field,area_hectares,4.166,4.166,2.123,5.655,3.277,5.619,5.818,64,5.576,5.246,6.176
Jawa Tengah,paddy field,area_hectares,771,2.5,786,805,639,71,67,41.413,64,64,89
DI Yogyakarta,paddy field,area_hectares,34.076,33.85,33.643,37.456,40.659,29.077,41.299,3.863,4.697,26.877,25.654
Jawa Timur,paddy field,area_hectares,7.902,7.782,7.836,6.49,5.929,4.81,562,5.254,3.863,3.074,3.074
Bali,paddy field,area_hectares,322,308,271,247,247,376,537,424,270,254,247
Nusa Tenggara Barat,paddy field,area_hectares,335,1.255,1.448,1.303,1.303,872,1.769,1.769,1.123,1.243,723
Nusa Tenggara Timur,paddy field,area_hectares,-,84,97,123,23,22,22,68,62,129,60
Kalimantan Barat,paddy field,area_hectares,-,-,-,-,-,-,-,-,-,-,-
Kalimantan Tengah,paddy field,area_hectares,137,123,-,-,120,271,3,15,15,-,-
Kalimantan Selatan,paddy field,area_hectares,259,174,185,151,219,168,156,211,211,211,211
Kalimantan Timur,paddy field,area_hectares,-,-,-,-,-,34,69,74,74,84,20
Kalimantan Utara,paddy field,area_hectares,,,,,,,,,,,-
Sulawesi Utara,paddy field,area_hectares,1.512,1.512,1.606,1.665,1.72,1.877,2.596,5.343,5.064,5.038,5.038
Gorontalo,paddy field,area_hectares,5,-,-,-,5,20,22,14,14,40,13
Sulawesi Tengah,paddy field,area_hectares,7.018,4.534,6.893,7.485,7.118,10.723,11.08,-,15.071,12.433,12.962
Sulawesi Selatan,paddy field,area_hectares,1.67,-,-,-,-,-,-,10.3,-,-,-
Sulawesi Barat,paddy field,area_hectares,7,14,14,4,9,4,16,7.712,21,5,5
Sulawesi Tenggara,paddy field,area_hectares,-,-,2.331,3.639,3.679,3.639,7.692,16,7.712,7.712,7.712
Maluku,paddy field,area_hectares,-,-,-,-,-,-,-,-,-,-,-
Maluku Utara,paddy field,area_hectares,-,-,-,-,-,-,-,-,-,-,-
Papua,paddy field,area_hectares,-,-,-,-,-,26,14,-,-,-,-
Papua Barat,paddy field,area_hectares,-,-,-,-,-,-,-,-,-,-,-
Indonesia,paddy field,area_hectares,125.884,119.057,118.322,127.944,127.679,165.688,151.63,156.193,124.057,142.122,128.447
Aceh,marine culture,tons,-,17,-,-,36,42,164,43,84,109,158
Sumatera Utara,marine culture,tons,548,-,612,352,1.386,1.888,3.566,3.086,4.348,4.35,4.363
Sumatera Barat,marine culture,tons,126,40,34,34,60,13,79,833,335,243,268
Riau,marine culture,tons,26,59,5,4,-,11,3,2,5,401,619
Kepulauan Riau,marine culture,tons,-,-,-,-,-,-,-,-,,-,-
Jambi,marine culture,tons,-,-,-,316,357,392,-,421,23,-,-
Sumatera Selatan,marine culture,tons,-,-,-,669,-,-,248,5.164,779,24,1
Kepulauan Bangka Belitung,marine culture,tons,821,1.693,2.094,1.473,4.201,9.448,10.696,14.057,15.927,6.775,4.44
Bengkulu,marine culture,tons,24,31,24,62,712,746,4.585,10.142,7.142,1.088,1.964
Lampung,marine culture,tons,4.856,903,4.805,4.623,4.651,16.477,4.682,-,,15.358,19.044
DKI Jakarta,marine culture,tons,1.909,1.457,1.345,1.53,1.234,35.281,26.726,3.071,2.517,4.066,2.464
Jawa Barat,marine culture,tons,10.089,10.337,10.57,11.523,8.423,14.707,7.934,3.726,1.528,1.015,3.964
Jawa Tengah,marine culture,tons,25.984,2.532,1.854,2.249,2.934,4.809,5.737,6.604,14.211,42.413,22.785
DI Yogyakarta,marine culture,tons,-,-,-,-,-,-,-,-,,-,-
Jawa Timur,marine culture,tons,4.556,10.348,13.013,73.738,339.487,389.43,412.798,561.887,580.683,601.413,615.466
Banten,marine culture,tons,5.84,6.627,6.12,10.944,5.822,15.024,16.708,17.219,21.93,25.671,26.11
Bali,marine culture,tons,161.121,164.769,152.306,129.174,136,99.883,106.667,144.61,146.192,84.931,107.921
Nusa Tenggara Barat,marine culture,tons,36.425,60.691,75.656,86.622,147.604,163.287,278.107,451.482,599.742,749.659,921.54
Nusa Tenggara Timur,marine culture,tons,271.88,481.123,504.709,696.279,498.428,347.828,377.203,398.739,1.846.350,1.966.260,2.283.347
Kalimantan Barat,marine culture,tons,9.047,212,86,107,82,197,20,147,177,1.631,32
Kalimantan Tengah,marine culture,tons,-,-,36,30,31,300,149,230,88,339,364
Kalimantan Selatan,marine culture,tons,505,2.421,6.065,3.762,1.833,1.502,2.303,2.726,2.426,2.706,486
Kalimantan Timur,marine culture,tons,81,1.743,18.464,6.006,7.597,55.995,83.216,195.53,249.746,321.128,22.128
Kalimantan Utara,marine culture,tons,,,,,,,,,,,311.038
