province,aquaculture_type,units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Kalimantan Tengah,nets step,ton,,,,,,,,,,,,,,,-,–
Kalimantan Selatan,nets step,ton,,,,,,,,,,,,,,,2.489,1.112
Kalimantan Timur,nets step,ton,,,,,,,,,,,,,,,-,–
Kalimantan Utara,nets step,ton,,,,,,,,,,,,,,,,–
Sulawesi Utara,nets step,ton,,,,,,,,,,,,,,,-,1.807
Sulawesi Tengah,nets step,ton,,,,,,,,,,,,,,,478,452
Sulawesi Selatan,nets step,ton,,,,,,,,,,,,,,,-,–
Sulawesi Tenggara,nets step,ton,,,,,,,,,,,,,,,-,–
Gorontalo,nets step,ton,,,,,,,,,,,,,,,6.615,4.909
Sulawesi Barat,nets step,ton,,,,,,,,,,,,,,,-,–
Maluku,nets step,ton,,,,,,,,,,,,,,,-,–
Maluku Utara,nets step,ton,,,,,,,,,,,,,,,-,–
Papua Barat,nets step,ton,,,,,,,,,,,,,,,-,–
Papua,nets step,ton,,,,,,,,,,,,,,,-,–
Indonesia,nets step,ton,,,,,,,,,,,,,,,65.955,40.852
Aceh,paddy field,ton,2.599,2.488,2.213,2.574,3.250,3.023,3.263,2.428,1.829,2.058,792,1.089,591,934,1.150,1.988
Sumatera Utara,paddy field,ton,6.388,6.374,6.226,5.748,4.526,6.302,5.213,9.623,9.083,7.950,4.987,4.816,8.249,10.204,9.152,8.744
Sumatera Barat,paddy field,ton,3.052,3.103,1.818,3.611,3.060,3.213,1.249,6.243,7.894,9.269,5.823,6.494,7.367,7.800,7.948,8.688
Riau,paddy field,ton,0,83,10,9,14,-,-,-,-,-,-,-,-,-,3,3
Kepulauan Riau,paddy field,ton,20,15,26,26,8,8,8,8,8,19,6,19,6.098,9.655,21,15
Jambi,paddy field,ton,2.847,3.379,4.189,3.996,1.072,7.925,8.598,8.873,9.425,10.660,15.491,24.681,8.646,6.315,12.560,12.130
Sumatera Selatan,paddy field,ton,2.117,2.117,1.471,1.811,1.834,1.602,2.872,2.357,2.860,2.300,3.614,8.266,-,-,5.501,5.254
Kepulauan Bangka Belitung,paddy field,ton,716,1.360,1.013,876,856,448,464,611,430,744,160,159,-,-,48,48
Bengkulu,paddy field,ton,-,-,-,-,-,-,-,-,-,-,-,-,56,50,-,–
Lampung,paddy field,ton,-,-,-,-,-,-,-,-,-,-,-,-,102,28,-,–
DKI Jakarta,paddy field,ton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–
Jawa Barat,paddy field,ton,49.062,52.555,38.661,43.869,39.664,34.519,27.529,26.223,23.309,31.784,32.660,25.556,22.646,27.065,30.532,34.179
Jawa Tengah,paddy field,ton,1.937,1.689,1.800,2.163,2.419,2.439,3.992,2.051,2.279,1.472,1.798,2.255,2.064,3.817,4.054,4.936
DI Yogyakarta,paddy field,ton,371,268,281,480,327,389,186,157,134,134,438,142,156,147,153,220
Jawa Timur,paddy field,ton,15.800,17.868,19.385,17.144,17.623,51.278,41.822,17.248,45.814,11.879,17.232,341,7.153,7.968,46.011,48.236
Banten,paddy field,ton,-,-,4.784,5.038,5.093,5.210,5.150,4.360,4.020,3.725,2.327,739,491,753,571,499
Bali,paddy field,ton,387,391,419,356,302,358,356,291,276,254,368,338,370,280,325,245
Nusa Tenggara Barat,paddy field,ton,898,548,406,309,246,97,965,89,142,139,127,242,703,936,617,874
Nusa Tenggara Timur,paddy field,ton,26,64,35,328,67,-,88,40,29,30,40,36,49,44,94,894
Kalimantan Barat,paddy field,ton,-,-,-,7,-,-,-,-,-,-,2,-,-,-,-,–
Kalimantan Tengah,paddy field,ton,72,-,-,91,81,129,665,-,-,-,175,2,4,3,-,–
Kalimantan Selatan,paddy field,ton,125,185,127,135,105,117,113,265,263,443,288,256,189,331,730,665
Kalimantan Timur,paddy field,ton,-,-,-,-,-,-,-,-,-,-,27,21,18,22,434,8
Kalimantan Utara,paddy field,ton,,,,,,,,,,,,,,,,–
Sulawesi Utara,paddy field,ton,1.999,2.023,1.275,1.283,1.159,1.159,1.426,1.485,1.623,2.701,7.834,8.484,12.956,16.353,17.304,13.056
